In una carreggiata del tipo rappresentato si può sorpassare anche in curva,V
La carreggiata del tipo rappresentato è a doppio senso di circolazione,V
"In una carreggiata extraurbana del tipo rappresentato le corsie interne sono, di norma, riservate al sorpasso",V
In una carreggiata del tipo rappresentato non si può effettuare l'inversione di marcia,V
In una carreggiata extraurbana del tipo rappresentato si può sorpassare indifferentemente sia da destra che da sinistra,F
In una carreggiata extraurbana del tipo rappresentato si può sempre marciare per file parallele,F
In una carreggiata del tipo rappresentato possiamo iniziare un sorpasso anche se il conducente che sta dietro ha già iniziato la stessa manovra,F
"Nella strada rappresentata, per ogni senso di marcia, la corsia di destra è, di norma, dedicata alla marcia ordinaria",V
La strada rappresentata è composta da tre corsie per ogni senso di marcia,V
"Nella strada rappresentata, per ogni senso di marcia, le corsie di centro e di sinistra sono dedicate, di norma, al sorpasso",V
La strada rappresentata è composta da una carreggiata,V
"Nella strada rappresentata, per ogni senso di marcia, la corsia di centro è dedicata, di norma, alla marcia ordinaria",F
"Nella strada rappresentata, per ogni senso di marcia, la corsia di destra è dedicata, di norma, al sorpasso",F
La strada rappresentata è composta da due carreggiate,F
"Nella strada rappresentata, per ogni senso di marcia, la corsia di sinistra è dedicata, di norma, alla marcia ordinaria",F
La strada rappresentata è composta da tre carreggiate,V
La strada rappresentata è composta da otto corsie,V
"Nella strada rappresentata le carreggiate laterali sono, di norma, a senso unico",V
"Nella strada rappresentata la carreggiata centrale è, di norma, a doppio senso di circolazione",V
"La strada rappresentata consente, di norma, il sorpasso anche in curva",V
"La strada rappresentata è composta da quattro carreggiate, tutte a senso unico",F
La strada rappresentata è composta da otto carreggiate,F
"La strada rappresentata, di norma, ha due carreggiate a doppio senso di circolazione",F
La strada rappresentata è composta da tre corsie,F
"Nella strada rappresentata, la corsia centrale è a doppio senso di circolazione",F
"Nelle carreggiate laterali della strada rappresentata è consentita, di norma, l'inversione di marcia",F
